"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																																									
242																																									
279																																									
354																																									
457																																									
505																																									
1155																																									
1351																																									
1454																																									
1669																																									
1856																																									
2161																																									
2732																																									
2750																																									
3252																																									
3720																																									
3971																					16515	451595	111480	101732	0	34427	715749	438	3570	1237	3457	0	4323	0	13025	0	0	0	0	0	
4231																																									
5069																																									
5135																																									
5210																					117219	1274185	726798	202363	0	9949	2330514	2588	13259	5868	1800	0	157	0	23672	0	0	0	0	0	
5461																																									
5751																																									
6039																																									
6329																					394569	393715	379819	120237	0	479454	1767794	5140	3025	2123	2610	0	15598	1037	29533	0	0	0	0	0	
7009																																									
7045																																									
7072																																									
7456																																									
7634																																									
8462																																									
8631																																									
9357																																									
9553																																									
9807																					314851	1357694	226337	34271	0	2038	1935191	5059	24334	2257	406	0	35	0	32091	0	0	0	0	0	
9955																																									
10250																																									
10849																																									
11145																																									
11640																																									
11837																																									
12030																																									
12142																																									
12311	2432935	20908257	34720237	66750228	946694	23595582	149353933	129998	527845	355596	1067591	86805	369287	0	2537122	0	0	0	0	0																					
12647																																									
12946																					236590	1180707	474604	405982	3295	45990	2347168	2447	16700	6566	8968	222	1251	0	36154	0	0	0	0	0	
13103																					116681	1049206	1053019	175931	0	251845	2646682	2242	12455	6698	2336	0	1669	0	25400	0	0	0	0	0	
13251																																									
13457																																									
14155																																									
14650																																									
14753																																									
14865																																									
14977																																									
16551																																									
17110																																									
17147																					804775	3742915	3131290	5957291	0	155436	13791707	5470	46119	37505	103857	0	2646	0	195597	245	0	0	0	245	
17259																																									
17950																																									
17978																																									
18050																																									
18827																					142395	935106	619692	237127	0	249950	2184270	1432	12384	6340	2251	0	79	0	22486	0	0	0	0	0	
18836																																									
18854																					224566	616338	157209	601685	0	6633	1606431	1222	6855	964	10168	0	198	0	19407	0	0	0	0	0	
19356																																									
19936																																									
19972																																									
20053																																									
20633																																									
20857																																									
21256																																									
21359																																									
21658																																									
22048																																									
22543																																									
22552																																									
22730																																									
23456																																									
23504																					117215	4571661	4460548	1602226	0	6558	10758208	2070	32307	24086	38594	0	315	0	97372	0	0	0	0	0	
23643																																									
23755																																									
24378																																									
24659																																									
24949																																									
25357																																									
25647																																									
26765																					493421	1553132	571938	1166065	0	13298	3797854	13832	11791	5102	18279	0	721	0	49725	7	0	0	0	7	
27070																																									
27614																																									
27847																																									
28013																					44523	3274492	365420	170929	0	1409	3856773	102	24812	5589	7637	0	4	0	38144	0	0	0	0	0	
28152																																									
28675																																									
28732																																									
29476																																									
29636																					104300	413524	194768	88924	4272	16488	822276	1710	2729	2795	1378	169	164	0	8945	0	0	0	0	0	
29878																					37788	1038116	879574	0	0	29	1955507	210	9910	8296	0	0	0	0	18416	0	0	0	0	0	
30052																																									
31134																																									
31255																					124880	294688	285555	288582	0	24840	1018545	1453	2027	2464	3151	0	590	367	10052	0	0	0	0	0	
31657																																									
31826																																									
31835																																									
32234																																									
32766																																									
32971																																									
33147																																									
33259																					115923	513871	126184	93302	0	3075	852355	1941	6853	1483	1623	0	30	0	11930	0	0	0	3	3	
33370																																									
33839																																									
33857																					171255	553493	328601	240476	0	8419	1302244	1854	6486	3558	2518	0	93	0	14509	0	0	0	0	0	
34537																					723931	6117645	3264768	2339554	0	182086	12627984	9740	69493	54303	38307	0	6960	0	178803	0	0	0	0	0	
34555																																									
34742																																									
35057																																									
35301	0	2471000	0	44400000	0	0	46871000	0	120000	0	73000	0	0	0	193000	0	0	0	0	0																					
35646																																									
35879																																									
36933																																									
37051																																									
37341																																									
37435																					193813	285924	320747	69401	3294	56812	929991	5937	2724	5821	1140	547	1270	962	18401	0	0	0	0	0	
37640																					444091	2910085	1546346	906804	13916	53855	5875097	4529	36172	15026	21042	600	325	0	77694	0	0	0	0	0	
37659																																									
37949																																									
38740																																									
39327																																									
40033																																									
40855																																									
41553																																									
41629																																									
41825																					86408	377615	322818	139228	0	1181	927250	913	2148	4850	1879	0	52	0	9842	2	0	0	77	79	
42037																																									
42354																																									
42372																																									
42420																					462786	3182109	2360285	2044989	9496	1448374	9508039	7808	40271	21629	38149	473	17438	0	125768	0	0	0	0	0	
42448																					258444	799456	625142	302965	3403	42900	2032310	3170	13998	5253	7223	246	924	150	30964	0	0	0	0	0	
42457																																									
43052																																									
43351																																									
43856																																									
43959																																									
44040																																									
44433																																									
44741																																									
44750																																									
44929																																									
45056																																									
45458																																									
45551																					190248	181856	193897	435171	323	33614	1035109	3134	2355	2166	3973	4	441	28	12101	0	0	0	0	0	
45560																					0	916382	766424	184261	0	30811	1897878	0	7491	5691	1831	0	338	287	15638	0	0	0	0	0	
45775																																									
46053																																									
46941																																									
47247																					120759	261847	618525	85155	1583	3176	1091045	2636	2268	5628	934	24	26	0	11516	0	0	0	0	0	
47500																																									
48374																					179868	1110910	104663	185493	0	26127	1607061	1261	10725	1268	3202	0	168	-35	16589	0	0	0	0	0	
48440																																									
49054																																									
49148																																									
49241																					83723	638215	119882	312439	0	3797	1158056	1050	5472	1442	4934	0	108	800	13806	0	0	0	0	0	
49652																																									
49858																																									
49951																																									
50461																																									
51253																					33785	157068	994333	15230	0	3875	1204291	136	942	9987	237	0	141	0	11443	0	0	0	0	0	
51356																																									
51459																																									
51842																																									
52719																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																																									
53051																																									
54058																																									
54973																					211743	1482312	3683341	590109	0	115742	6083247	7140	15130	18345	6969	0	9973	0	57557	0	0	0	0	0	
55336																																									
55635																																									
55970																																									
56258																																									
56351																					294405	1085043	939387	357739	0	87196	2763770	2510	14694	7047	7871	0	1983	0	34105	0	0	0	0	0	
56548																																									
56717																					76104	464977	163090	88732	0	35060	827963	1852	7550	1266	2531	0	531	0	13730	0	0	0	0	0	
57451																																									
58225																																									
58243																					425971	1457695	2304427	991136	18139	69172	5266540	7438	14534	29643	17782	652	1165	5529	76743	0	0	0	0	0	
58355																																									
58551																																									
58636																																									
58757																																									
58971																					795568	2741155	1832287	1839493	15142	116869	7340514	25309	55333	29522	41683	943	1588	411	154789	0	0	0	0	0	
59316																					85595	805156	352450	263258	0	342626	1849085	1471	7929	2271	3293	0	4918	0	19882	0	0	0	0	0	
59352																																									
59370																																									
59754																																									
60143	2503000	15244000	1950000	28756000	0	2300000	50753000	35000	261000	16000	354000	0	29000	0	695000	0	0	0	0	0																					
60330																					61652	454111	173043	202841	0	12540	904187	3112	6497	1765	3446	0	216	16	15052	0	0	0	0	0	
60545																																									
60554																																									
60648																																									
61122																					90271	570808	536913	277537	0	46175	1521704	1278	4644	8272	4473	0	803	0	19470	102	0	0	0	102	
61355																					63718	429341	275763	208792	18475	14605	1010694	348	4645	2055	2716	3226	103	13	13106	0	0	0	0	0	
61757																																									
61832																																									
61953																																									
62044																																									
62110																																									
62147																																									
63050																																									
63069	3256186	13172360	24745766	27410247	72178	217948	68874685	109840	156374	100467	311054	924	3904	0	682563	326	0	0	0	326																					
63201																																									
63573																																									
63733																					189930	399866	508641	89981	0	43808	1232226	3318	3694	4151	971	0	562	721	13417	0	0	0	0	0	
64552																																									
64730																																									
65205																																									
65559																					70794	227855	76737	147416	0	10667	533469	775	2494	840	1613	0	155		5877						
65858																					158356	946407	428901	356979	0	62003	1952646	1994	13096	1876	3586	0	719	1110	22381	0	0	0	0	0	
66154																																									
66275																																									
67142																																									
67151																																									
67209																					92916	597647	487664	130291	0	18543	1327061	1889	10956	1893	2013	0	632	63	17446	0	0	0	0	0	
67254																																									
67656																					50016	735404	101760	93706	175727	14224	1170837	0	9914	4392	1027	52894	141	0	68368	0	0	0	0	0	
68671																																									
68756																					68639	426853	147833	212681	0	6951	862957	653	4354	1239	3040	0	53	619	9958	0	0	0	0	0	
68831																																									
69333																					141240	620863	314295	204884	0	11927	1293209	1576	5575	4790	3692	0	216	0	15849	0	0	0	0	0	
69678																																									
70218																																									
70638																																									
70955																																									
71073																																									
71457																																									
71859																																									
72258																																									
72351																																									
72454																																									
72678																																									
73116																																									
73152																																									
73554																																									
73956																																									
74056																																									
74140																					0	709529	427879	329466	0	69491	1536365	0	6125	5059	1287	0	1256	0	13727	0	0	0	0	0	
74403																					59373	273887	484326	122048	0	214019	1153653	735	3360	2374	1414	0	4918	9	12810	0	0	0	0	0	
74449																																									
75259																					126350	570948	180033	218316	0	1695	1097342	1636	5480	695	2011	0	23	307	10152	0	0	0	0	0	
75446																																									
75455																																									
75633	4716072	23651043	28301846	72070815	838340	10176229	139754345	110356	547501	205425	1119840	67293	198424	0	2248839	0	82	4087	0	4169																					
75651																																									
76153																																									
76443																																									
76854																																									
77150																																									
77253																																									
77422																																									
77851																					313702	1527663	476335	1050889	10257	30208	3409054	3370	19222	3924	16400	118	141	0	43175	0	0	0	0	0	
78157																																									
78241																																									
78559																																									
79042																																									
79127																																									
79145																																									
79257																																									
79855																																									
80150																																									
80374																																									
80431																																									
81175																																									
82033																																									
82257																																									
82350																																									
83375																					35085	318955	73639	322095	0	82245	832019	611	4534	383	3239	0	475	0	9242	13	0	0	0	13	
83638	493180	2086899	1443716	2340737	0	248859	6613391	6758	16359	19144	34353	0	2662	0	79276	0	0	0	0	0																					
83834																																									
83852																																									
83955																																									
84541																					234513	792134	516383	330861	2388	41358	1917637	2502	7522	5298	11375	0	634	543	27874	82	0	0	0	82	
85052																																									
85472																					626840	5676715	3536939	1197238	0	16659	11054391	2187	32510	25522	23377	0	130	0	83726	22	17	0	772	811	
85931																																									
86349																																									
86675																					85198	317988	535757	17107	646	72	956768	780	3861	3133	215	28	3	0	8020	0	0	0	0	0	
87047																																									
87234																																									
87476																																									
87579																																									
88231																					179881	355773	560660	57772	0	19595	1173681	3260	4561	6429	1568	0	592	1001	17411	0	0	0	0	0	
88259																																									
88352																																									
88455																																									
89032																																									
89135																																									
89854																																									
89957																																									
90047																																									
90177																																									
90328																					64851	325899	596318	61532	0	9598	1058198	924	2374	4677	554	0	137	0	8666	0	0	0	0	0	
90337																																									
90579																																									
91615																																									
91950																																									
92144																																									
92676																																									
92706																																									
92902																																									
93244																																									
93543																																									
93619																																									
94139																																									
94522																					205547	346351	491924	72825	1279	12850	1130776	1916	2596	3472	366	26	333	0	8709	0	0	0	0	0	
94755																																									
94858																																									
95051																																									
95677																																									
96553																																									
97055																																									
97279																																									
97457																																									
97804																																									
97943																																									
98351																																									
98463																																									
98717																																									
99143																																									
99376																					30010	283959	1725028	992461	0	63661	3095119	466	5071	10398	10513	0	2034	0	28482	0	0	0	0	0	
99442																					25288	196332	224392	124264	0	18730	589006	456	1864	1240	1051	0	359	0	4970	62	0	0	8	70	
99536																					60246	493740	459551	34212	44	23139	1070932	291	3203	2082	198	0	885	0	6659	0	0	0	0	0	
99853																																									
100236																																									
100357																					128657	297996	136039	243385	0	7202	813279	1906	3601	1777	2550	0	72	81	9987	0	0	0	19	19	
100562																					301045	4853762	1273941	641670	0	40669	7111087	8231	75532	24309	15716	0	1974	0	125762	0	0	0	0	0	
100777																																									
100843																																									
101037																					78521	194981	520936	40344	2687	10774	848243	1433	3614	7332	509	45	54	753	13740	0	0	0	0	0	
101439																																									
101671																																									
101738																																									
101952																																									
102333																																									
102342																																									
102557																																									
102874																																									
103134																																									
104234																																									
104542																																									
104971																																									
105026																																									
105473																					152482	401394	732520	115734	0	5279	1407409	1754	3662	4811	721	0	29	1965	12941	0	0	0	0	0	
105530																																									
106359																					137346	1157466	338021	217725	1129	247226	2098913	2055	11684	3485	3477	1	3396	560	24658	0	0	0	0	0	
106452																																									
106676																																									
107244																					7778411	12418768	1631242	6214865	0	4269995	32313281	78086	177021	31130	76627	0	112857	0	475721	0	0	0	0	0	
107570																																									
107758																																									
108072																																									
108269																																									
108652																																									
108746																																									
108951																																									
109136																																									
109154																																									
109453																																									
109574																																									
109659																																									
110413																					50291	270770	16649	96924	1342	690	436666	410	2366	54	2564	14	4	0	5412	0	0	0	0	0	
110936																					61988	346025	1405452	58453	16429	96489	1984836	791	4469	20404	487	633	156	0	26940	0	0	0	0	0	
110945																																									
110972																																									
111157																																									
111205																					40677	306371	478255	36097	0	5295	866695	362	3769	3468	298	0	84	539	8520	0	0	0	0	0	
111942																																									
112332																																									
112510																																									
112556																																									
112837	1090489	32527217	0	55644003	279570566	84790045	453622320	15660	432083	0	1003952	20065512	1891595	0	23408802	0	0	0	0	0																					
113003																																									
113030																																									
113441																					45732	284968	464027	74515	0	17675	886917	45	2201	4477	999	0	400	132	8254	0	0	0	0	0	
113601																					609260	916490	4967	47670	0	62	1578449	7096	8465	35	106	0	0	0	15702	0	0	0	73	73	
113740																					61447	385141	366388	178379	0	2460	993815	454	3787	8706	898	0	21	-142	13724	0	0	0	0	0	
114149																																									
114260																					279596	1591458	324075	496064	1690	19081	2711964	3070	10856	2684	4404	35	401	0	21450	0	0	0	0	0	
114457																																									
114774																																									
114840																																									
114859																																									
115146																																									
115575																																									
116358																																									
116554																																									
116741																																									
117038																																									
117458																					57940	351056	95096	230111	0	4311	738514	376	5582	958	3656	0	105	0	10677	0	0	0	0	0	
117775																																									
118156																					92753	253307	228541	277416	0	25969	877986	277	755	681	827	0	77	607	3224	0	0	0	0	0	
118660																																									
118736																																									
119153																																									
119779																					77319	379646	879730	42852	0	76246	1455793	1465	3420	3764	487	0	617	58	9811	0	0	0	67	67	
119872																																									
120476																																									
120542																																									
120609																					72475	642282	530404	131866	0	40221	1417248	473	6376	3047	1775	0	1055	167	12893	0	0	0	0	0	
120953																																									
121642																					446706	2686529	2211788	839854	989	104929	6290795	7420	23219	27797	11729	0	901	0	71066	0	0	0	0	0	
121651																																									
121914																																									
122153																																									
122546																																									
123075																																									
123374																																									
124344																																									
124830																																									
125154																																									
125855																					127039	457208	115965	230286	1312	9482	941292	941	2831	1190	2945	40	279	0	8226	0	0	0	0	0	
126012																																									
126049																																									
126375																																									
126553																																									
126834																																									
127055																																									
127224																																									
128258																																									
