"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
	INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	GOODWILL	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	Cost of equity securities with readi	All other intangible asset	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	ALL OTHR RE OWNED IN FOREIGN OFFICES	INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	GOODWILL	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	Cost of equity securities with readi	All other intangible asset	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	INST USE HOLA QTL OR IRS DBLA	INST COMPLY W HOLA QLT OR IRS DBLA	Number of outstanding PPP Loan	Outstanding balance of PPP loan	Outstanding balance of loans pledged	Quarterly average amount of PPP loan	Outstanding balance of borrowings fr	Outstanding balance of borrowings fr	Estimated number of international re	Estimated number of international re	EST NUMBER OF REMITTANCE TRANSFERS	EST DOLLAR OF REMITTANCE TRANSFERS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URL	
37																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		0		0	0			0	0	0	0	0	0			3	6																	www.bankofhancock.com	
242																														0	0	1000	0	0	3000	true	0	0	0	0	0	0	0	0	true	0	0	1000	527	1423	50	0	0	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0			0																		www.fcbxeniaflora.com	
279																														210	9271	13000	0	210	45669	true	3355	0	0	5749	167	1750	2	210	false	0	0	13000	32669	0	0	0	0	0	0	0	0	0	false	false		0		0	0	1	true	0	0	0	0	0	0			180																		www.broadstreet.bank	
354																														0	0	12320	0	0	12320	true	0	0	0	0	0	38	0	0	false	0	0	12320	0	0	0	0	0	0	0	0	0	0	false	false		0		0	0			0	0	0	0	0	0			22																		www.bisonstatebank.com	
457																														0	226	3000	0	0	7500	true	0	0	226	0	0	1216	1	0	false	0	0	3000	4500	0	0	0	0	0	0	0	0	0	true	false	3	0		0	0			0	0	0	0	0	0	0	0	0	0																	www.lowrystate.bank	
505																														1685	0	64000	1595	90	74000	true	0	0	0	0	0	6813	1	90	true	0	0	64000	10000	0	0	0	0	0	0	0	0	0	true	true		0		0	0			0	0	0	0	0	0			127																		https://ww.bsnb.com	
1155																														9142	0	0	8580	0	0	true	0	0	0	0	0	6264	4	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	562		0	0			1	1	0	0	0	0			60		www.rvrbankchecking.com																www.rvr.bank	
1351																														0	113	0	0	0	0	true	0	0	0	0	113	3904	6	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0			0																		www.bankofgrandin.net	
1454																														0	0	0	0	0	0	true	0	0	0	0	0	29525	10	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	9	0		0	0			1	6	0	0	0	0			66																		WWW.HILLTOP.BANK	
