rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
852218,322777000.0,322777000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
480228,250540000.0,250540000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
476810,176115000.0,176115000000.0,"CITIBANK, N.A."
451965,171723000.0,171723000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
112837,97139218.0,97139218000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
2182786,65578000.0,65578000000.0,GOLDMAN SACHS BANK USA
504713,65381988.0,65381988000.0,U.S. BANK NATIONAL ASSOCIATION
852320,61764000.0,61764000000.0,TRUIST BANK
817824,56652636.0,56652636000.0,"PNC BANK, NATIONAL ASSOCIATION"
497404,48637358.0,48637358000.0,"TD BANK, NATIONAL ASSOCIATION"
75633,36163575.0,36163575000.0,BMO BANK NATIONAL ASSOCIATION
541101,30917000.0,30917000000.0,"BANK OF NEW YORK MELLON, THE"
35301,29140000.0,29140000000.0,STATE STREET BANK AND TRUST COMPANY
501105,28382086.0,28382086000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
3303298,25936975.0,25936975000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
1456501,24648000.0,24648000000.0,"MORGAN STANLEY BANK, N.A."
723112,23640000.0,23640000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
491224,22677000.0,22677000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
3150447,21237000.0,21237000000.0,"CHARLES SCHWAB BANK, SSB"
12311,20790154.0,20790154000.0,"HUNTINGTON NATIONAL BANK, THE"
280110,18350963.0,18350963000.0,KEYBANK NATIONAL ASSOCIATION
1394676,18181353.0,18181353000.0,AMERICAN EXPRESS NATIONAL BANK
233031,17547000.0,17547000000.0,REGIONS BANK
2489805,17309000.0,17309000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
413208,16405374.0,16405374000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
3284070,14722000.0,14722000000.0,ALLY BANK
1216022,14631000.0,14631000000.0,SYNCHRONY BANK
722777,13209716.0,13209716000.0,"SANTANDER BANK, NATIONAL ASSOCIATION"
63069,11787364.0,11787364000.0,CITY NATIONAL BANK
210434,11100794.0,11100794000.0,"NORTHERN TRUST COMPANY, THE"
1842065,10685061.0,10685061000.0,CIBC BANK USA
214807,10139000.0,10139000000.0,DEUTSCHE BANK TRUST COMPANY AMERICAS
761806,9724100.0,9724100000.0,"WEBSTER BANK, NATIONAL ASSOCIATION"
3212149,9650709.0,9650709000.0,UBS BANK USA
1929247,9383939.0,9383939000.0,"SOUTHSTATE BANK, N.A."
485559,9165820.0,9165820000.0,FIRST HORIZON BANK
694904,8577865.0,8577865000.0,"FLAGSTAR BANK, NATIONAL ASSOCIATION"
229801,8026050.0,8026050000.0,VALLEY NATIONAL BANK
208244,7871927.0,7871927000.0,OLD NATIONAL BANK
197478,7692029.0,7692029000.0,EAST WEST BANK
3138146,7399633.0,7399633000.0,WESTERN ALLIANCE BANK
664756,7357171.0,7357171000.0,PROSPERITY BANK
936855,7016315.0,7016315000.0,"UMB BANK, NATIONAL ASSOCIATION"
2925666,6725336.0,6725336000.0,PINNACLE BANK
60143,6706000.0,6706000000.0,COMERICA BANK
276579,6595765.0,6595765000.0,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION"
379920,6435158.0,6435158000.0,FIRST NATIONAL BANK OF PENNSYLVANIA
2980209,6338000.0,6338000000.0,BARCLAYS BANK DELAWARE
107244,5924875.0,5924875000.0,BANK OZK
606046,5916283.0,5916283000.0,CADENCE BANK
143662,5687667.0,5687667000.0,UMPQUA BANK
395238,5602339.0,5602339000.0,SYNOVUS BANK
693224,5474359.0,5474359000.0,ATLANTIC UNION BANK
365325,5444304.0,5444304000.0,UNITED BANK
339858,5421153.0,5421153000.0,"BOKF, NATIONAL ASSOCIATION"
962966,4909174.0,4909174000.0,"SOFI BANK, NATIONAL ASSOCIATION"
619877,4697000.0,4697000000.0,USAA FEDERAL SAVINGS BANK
917742,4630554.0,4630554000.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION"
2121196,4360230.0,4360230000.0,"TD BANK USA, NATIONAL ASSOCIATION"
463735,4250205.0,4250205000.0,HANCOCK WHITNEY BANK
682563,4093189.0,4093189000.0,FROST BANK
645625,4009841.0,4009841000.0,"WESBANCO BANK, INC."
749242,3943555.0,3943555000.0,RENASANT BANK
764030,3923758.0,3923758000.0,AMERIS BANK
456045,3868659.0,3868659000.0,CENTENNIAL BANK
2735146,3804817.0,3804817000.0,"EVERBANK, NATIONAL ASSOCIATION"
494261,3761094.0,3761094000.0,BANC OF CALIFORNIA
595270,3705039.0,3705039000.0,MIDFIRST BANK
1444021,3701404.0,3701404000.0,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION"
934329,3666000.0,3666000000.0,"BNY MELLON, NATIONAL ASSOCIATION"
940311,3580000.0,3580000000.0,BANCO POPULAR DE PUERTO RICO
663245,3576970.0,3576970000.0,SIMMONS BANK
2634191,3541761.0,3541761000.0,GLACIER BANK
128904,3538612.0,3538612000.0,EASTERN BANK
527954,3431685.0,3431685000.0,FIRST NATIONAL BANK OF OMAHA
474919,3385178.0,3385178000.0,"FULTON BANK, NATIONAL ASSOCIATION"
659855,3374327.0,3374327000.0,FIRST INTERSTATE BANK
1017939,3358442.0,3358442000.0,UNITED COMMUNITY BANK
2618780,3286843.0,3286843000.0,TEXAS CAPITAL BANK
613008,3170140.0,3170140000.0,ROCKLAND TRUST COMPANY
3938186,3136112.0,3136112000.0,"BANKUNITED, NATIONAL ASSOCIATION"
3284397,3105543.0,3105543000.0,BEAL BANK USA
2193616,3060842.0,3060842000.0,RAYMOND JAMES BANK
431172,3049834.0,3049834000.0,"PACIFIC PREMIER BANK, NATIONAL ASSOCIATION"
601050,3045795.0,3045795000.0,COMMERCE BANK
204004,3041989.0,3041989000.0,PROVIDENT BANK
656377,3026838.0,3026838000.0,WASHINGTON FEDERAL BANK
595869,2969033.0,2969033000.0,CATHAY BANK
3394278,2939336.0,2939336000.0,SALLIE MAE BANK
814430,2694108.0,2694108000.0,CITY NATIONAL BANK OF FLORIDA
980661,2684166.0,2684166000.0,FIRST HAWAIIAN BANK
3202702,2582000.0,2582000000.0,"OPTUM BANK, INC."
165628,2492942.0,2492942000.0,FIRST FINANCIAL BANK
2917317,2477714.0,2477714000.0,AXOS BANK
437914,2448204.0,2448204000.0,"WILMINGTON SAVINGS FUND SOCIETY, FSB"
936462,2416618.0,2416618000.0,MECHANICS BANK
416245,2407256.0,2407256000.0,BUSEY BANK
2567123,2362926.0,2362926000.0,"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION"
17147,2333116.0,2333116000.0,FIRST MERCHANTS BANK
671464,2305561.0,2305561000.0,BANK OF HOPE
34537,2236532.0,2236532000.0,SEACOAST NATIONAL BANK
2797724,2231345.0,2231345000.0,TOWNEBANK
1893049,2227000.0,2227000000.0,"CHARLES SCHWAB PREMIER BANK, SSB"
933966,2218177.0,2218177000.0,CITIZENS BUSINESS BANK
342634,2155600.0,2155600000.0,TRUSTMARK NATIONAL BANK
963945,2138040.0,2138040000.0,MERCHANTS BANK OF INDIANA
311845,2133167.0,2133167000.0,ARVEST BANK
2736291,2034248.0,2034248000.0,POPULAR BANK
2354985,1924174.0,1924174000.0,CUSTOMERS BANK
1190476,1914810.0,1914810000.0,ENTERPRISE BANK & TRUST
3224580,1886203.0,1886203000.0,COMENITY CAPITAL BANK
853952,1883396.0,1883396000.0,"CENTRAL TRUST BANK, THE"
352772,1867450.0,1867450000.0,BANNER BANK
1443266,1847000.0,1847000000.0,"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION"
2615190,1829700.0,1829700000.0,MERRICK BANK
1001152,1816884.0,1816884000.0,INTERNATIONAL BANK OF COMMERCE
510871,1790198.0,1790198000.0,FIRSTBANK PUERTO RICO
3348888,1780689.0,1780689000.0,SERVISFIRST BANK
702117,1778614.0,1778614000.0,"NBT BANK, NATIONAL ASSOCIATION"
2850722,1738957.0,1738957000.0,BMW BANK OF NORTH AMERICA
3221468,1727601.0,1727601000.0,VERITEX COMMUNITY BANK
915878,1721013.0,1721013000.0,THIRD FEDERAL SAVINGS & LOAN ASSOCIATION OF CLEVELAND
288853,1697518.0,1697518000.0,FIRSTBANK
85472,1683955.0,1683955000.0,"OCEANFIRST BANK, NATIONAL ASSOCIATION"
1002878,1643629.0,1643629000.0,NORTHWEST BANK
3317932,1634248.0,1634248000.0,CONNECTONE BANK
795968,1631421.0,1631421000.0,BANK OF HAWAII
216922,1630087.0,1630087000.0,FIRST BANK
23504,1618255.0,1618255000.0,DIME COMMUNITY BANK
3579589,1611658.0,1611658000.0,STELLAR BANK
470050,1603598.0,1603598000.0,FIRST FINANCIAL BANK
436159,1572273.0,1572273000.0,FIRSTBANK
249612,1546147.0,1546147000.0,APPLE BANK
1225761,1542724.0,1542724000.0,WELLS FARGO NATIONAL BANK WEST
637451,1502017.0,1502017000.0,PLAINSCAPITAL BANK
3475083,1498122.0,1498122000.0,TRISTATE CAPITAL BANK
202907,1491993.0,1491993000.0,"COMMUNITY BANK, NATIONAL ASSOCIATION"
42420,1478253.0,1478253000.0,FIRST COMMONWEALTH BANK
3470239,1469793.0,1469793000.0,"AMERIPRISE BANK, FSB"
509950,1427032.0,1427032000.0,FIRST UNITED BANK AND TRUST COMPANY
936426,1412875.0,1412875000.0,S & T BANK
929352,1395221.0,1395221000.0,BELL BANK
871769,1388352.0,1388352000.0,FARMERS AND MERCHANTS BANK OF LONG BEACH
320119,1371495.0,1371495000.0,ISRAEL DISCOUNT BANK OF NEW YORK
100562,1358229.0,1358229000.0,TRI COUNTIES BANK
3076248,1340387.0,1340387000.0,STIFEL BANK AND TRUST
688079,1340345.0,1340345000.0,"WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION"
918918,1302736.0,1302736000.0,SAFRA NATIONAL BANK OF NEW YORK
652874,1293691.0,1293691000.0,NEXBANK
229913,1289970.0,1289970000.0,MIZUHO BANK (USA)
1386251,1288968.0,1288968000.0,BANCFIRST
129732,1284012.0,1284012000.0,BYLINE BANK
4210227,1250874.0,1250874000.0,NBH BANK
245276,1230446.0,1230446000.0,ORIENTAL BANK
961624,1216669.0,1216669000.0,"DOLLAR BANK, FEDERAL SAVINGS BANK"
264772,1204588.0,1204588000.0,"LENDINGCLUB BANK, NATIONAL ASSOCIATION"
2652092,1198338.0,1198338000.0,EAGLEBANK
3637685,1188835.0,1188835000.0,FIRST FOUNDATION BANK
473501,1180589.0,1180589000.0,BERKSHIRE BANK
2941068,1172644.0,1172644000.0,NICOLET NATIONAL BANK
1176881,1163738.0,1163738000.0,XD BANK
577128,1156916.0,1156916000.0,PEOPLES BANK
137915,1146447.0,1146447000.0,EMIGRANT BANK
991340,1146233.0,1146233000.0,1ST SOURCE BANK
489623,1139506.0,1139506000.0,"PARK NATIONAL BANK, THE"
667757,1137504.0,1137504000.0,ORIGIN BANK
587800,1118801.0,1118801000.0,LIBERTY BANK
174572,1083319.0,1083319000.0,COLUMBIA BANK
37640,1068934.0,1068934000.0,GERMAN AMERICAN BANK
2239288,1068072.0,1068072000.0,"WINTRUST BANK, NATIONAL ASSOCIATION"
398668,1066176.0,1066176000.0,"BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE"
1391778,1057657.0,1057657000.0,COMENITY BANK
474759,1055113.0,1055113000.0,"SUNFLOWER BANK, NATIONAL ASSOCIATION"
3783313,1046854.0,1046854000.0,CROSS RIVER BANK
3650808,1040686.0,1040686000.0,LIVE OAK BANKING COMPANY
353555,1036595.0,1036595000.0,AMARILLO NATIONAL BANK
673440,1009089.0,1009089000.0,FIRST SECURITY BANK
317342,1005466.0,1005466000.0,STOCK YARDS BANK & TRUST COMPANY
766164,1005201.0,1005201000.0,"TBK BANK, SSB"
316840,1001407.0,1001407000.0,REPUBLIC BANK & TRUST COMPANY
968070,995623.0,995623000.0,CAPITOL FEDERAL SAVINGS BANK
83638,986938.0,986938000.0,"AMERANT BANK, NATIONAL ASSOCIATION"
930965,972160.0,972160000.0,SMBC MANUBANK
2600039,951284.0,951284000.0,"COMPUTERSHARE TRUST COMPANY, NATIONAL ASSOCIATION"
361167,948449.0,948449000.0,SOUTHSIDE BANK
2858960,942701.0,942701000.0,"BANCORP BANK NATIONAL ASSOCIATION, THE"
58971,934421.0,934421000.0,WASHINGTON TRUST BANK
3408728,919039.0,919039000.0,B1BANK
618807,915622.0,915622000.0,SALEM FIVE CENTS SAVINGS BANK
354310,914013.0,914013000.0,UNIVEST BANK AND TRUST CO.
52719,912202.0,912202000.0,"DEPOSITORY TRUST COMPANY, THE"
881478,903800.0,903800000.0,HERITAGE BANK
783648,902275.0,902275000.0,CENTIER BANK
859712,900109.0,900109000.0,RIDGEWOOD SAVINGS BANK
762447,897408.0,897408000.0,"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION"
959304,885372.0,885372000.0,FLUSHING BANK
933621,880419.0,880419000.0,BURKE AND HERBERT BANK AND TRUST COMPANY
121642,878988.0,878988000.0,BANKPLUS
3287660,874586.0,874586000.0,TOYOTA FINANCIAL SAVINGS BANK
450856,874427.0,874427000.0,UNION BANK AND TRUST COMPANY
2916963,859677.0,859677000.0,U.S. BANK TRUST NATIONAL ASSOCIATION
435077,847532.0,847532000.0,"PATHWARD, NATIONAL ASSOCIATION"
3187630,846205.0,846205000.0,FORBRIGHT BANK
1917301,843041.0,843041000.0,"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
657365,841497.0,841497000.0,HANMI BANK
2362458,837716.0,837716000.0,"WELLS FARGO BANK SOUTH CENTRAL, NATIONAL ASSOCIATION"
130541,830212.0,830212000.0,HORIZON BANK
479268,825661.0,825661000.0,BANK OF STOCKTON
509811,824795.0,824795000.0,"COMMUNITY TRUST BANK, INC."
58243,816439.0,816439000.0,JOHNSON BANK
3783948,810623.0,810623000.0,"RBC BANK (GEORGIA), NATIONAL ASSOCIATION"
661308,793240.0,793240000.0,AMALGAMATED BANK
5278251,783648.0,783648000.0,CHARLES SCHWAB TRUST BANK
2992547,781289.0,781289000.0,"JOHN DEERE FINANCIAL, F.S.B."
913856,779725.0,779725000.0,PINNACLE BANK
2998576,763502.0,763502000.0,CELTIC BANK CORPORATION
3076220,760631.0,760631000.0,STIFEL BANK
29878,750349.0,750349000.0,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION
1918344,747660.0,747660000.0,PREFERRED BANK
786612,746550.0,746550000.0,MID PENN BANK
888002,738192.0,738192000.0,MIDDLESEX SAVINGS BANK
28013,736907.0,736907000.0,NORTHFIELD BANK
996260,730453.0,730453000.0,CTBC BANK CORP. (USA)
936136,727855.0,727855000.0,OLD SECOND NATIONAL BANK
2705895,727710.0,727710000.0,METROPOLITAN COMMERCIAL BANK
5582846,721009.0,721009000.0,"SQUARE FINANCIAL SERVICES, INC."
2209553,717103.0,717103000.0,HERITAGE BANK OF COMMERCE
2608754,716418.0,716418000.0,MERCANTILE BANK
2700984,712764.0,712764000.0,WEX BANK
412751,709123.0,709123000.0,WOODFOREST NATIONAL BANK
874845,706276.0,706276000.0,LAKE CITY BANK
236706,704605.0,704605000.0,PEAPACK PRIVATE BANK AND TRUST
633378,702608.0,702608000.0,KEARNY BANK
433608,693936.0,693936000.0,TOMPKINS COMMUNITY BANK
1011526,692340.0,692340000.0,CITY NATIONAL BANK OF WEST VIRGINIA
593007,687541.0,687541000.0,CAMDEN NATIONAL BANK
255659,680927.0,680927000.0,BANK OF COLORADO
836843,680367.0,680367000.0,MIDWESTONE BANK
651859,673340.0,673340000.0,STOCKMAN BANK OF MONTANA
663834,668356.0,668356000.0,OCEAN BANK
677176,668261.0,668261000.0,TRUSTCO BANK
773247,659928.0,659928000.0,MIDLAND STATES BANK
811046,654511.0,654511000.0,BANKERS TRUST COMPANY
701062,650154.0,650154000.0,CENTRAL PACIFIC BANK
758703,645812.0,645812000.0,CAMBRIDGE SAVINGS BANK
639567,641360.0,641360000.0,"CREDIT ONE BANK, NATIONAL ASSOCIATION"
3232204,640744.0,640744000.0,POPPY BANK
826956,637397.0,637397000.0,CHOICE FINANCIAL GROUP
426534,636776.0,636776000.0,HEARTLAND BANK AND TRUST COMPANY
272302,635270.0,635270000.0,INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY
339773,633715.0,633715000.0,NEEDHAM BANK
2265456,633704.0,633704000.0,"WILMINGTON TRUST, NATIONAL ASSOCIATION"
572374,630013.0,630013000.0,GREAT SOUTHERN BANK
808260,629770.0,629770000.0,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA
260055,629043.0,629043000.0,ALPINE BANK
933023,627838.0,627838000.0,"SHORE UNITED BANK, NATIONAL ASSOCIATION"
601416,626818.0,626818000.0,FIVE STAR BANK
697763,623451.0,623451000.0,WESTAMERICA BANK
54973,616966.0,616966000.0,"AMERICAN SAVINGS BANK, F.S.B."
258771,615831.0,615831000.0,HOMESTREET BANK
399517,612287.0,612287000.0,CNB BANK
2737980,609454.0,609454000.0,NORTHPOINTE BANK
2119773,608169.0,608169000.0,"HINSDALE BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
850036,607135.0,607135000.0,FIRST AMERICAN BANK
139656,606465.0,606465000.0,EQUITY BANK
391575,604463.0,604463000.0,"UNITED FIDELITY BANK, FSB"
3630323,603844.0,603844000.0,THIRD COAST BANK
782306,602299.0,602299000.0,BROOKLINE BANK
342410,601797.0,601797000.0,ORRSTOWN BANK
2471239,600419.0,600419000.0,CFG BANK
1187001,597684.0,597684000.0,INTERBANK
594947,590934.0,590934000.0,"BANK FIRST, NATIONAL ASSOCIATION"
932978,585981.0,585981000.0,FIRSTRUST SAVINGS BANK
3447576,585465.0,585465000.0,AMERICAN MOMENTUM BANK
3076453,584895.0,584895000.0,"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION"
3835454,577813.0,577813000.0,ROYAL BUSINESS BANK
693345,577657.0,577657000.0,"FIRST FINANCIAL BANK, NATIONAL ASSOCIATION"
212577,575353.0,575353000.0,HOMETRUST BANK
278818,574799.0,574799000.0,PEOPLES SECURITY BANK AND TRUST COMPANY
731247,561179.0,561179000.0,HILLS BANK AND TRUST COMPANY
664206,555686.0,555686000.0,CAPE COD FIVE CENTS SAVINGS BANK
3402913,553514.0,553514000.0,BANESCO USA
3532641,552150.0,552150000.0,SMARTBANK
114260,550135.0,550135000.0,FIRST NATIONAL BANK ALASKA
3378773,549676.0,549676000.0,BRIDGEWATER BANK
725732,548585.0,548585000.0,BRADESCO BANK
816603,544285.0,544285000.0,"WASHINGTON TRUST COMPANY, OF WESTERLY, THE"
40499,540468.0,540468000.0,HARBORONE BANK
933256,537757.0,537757000.0,"ALERUS FINANCIAL, NATIONAL ASSOCIATION"
809771,532745.0,532745000.0,YAKIMA FEDERAL SAVINGS AND LOAN ASSOCIATION
2634351,531667.0,531667000.0,"MACATAWA BANK, NATIONAL ASSOCIATION"
413141,527009.0,527009000.0,FIRST NATIONAL BANK OF AMERICA
159636,523234.0,523234000.0,WILSON BANK & TRUST
722544,521760.0,521760000.0,NATIONAL EXCHANGE BANK AND TRUST
3109146,518301.0,518301000.0,"LEADER BANK, NATIONAL ASSOCIATION"
141556,517409.0,517409000.0,STEARNS BANK NATIONAL ASSOCIATION
77851,513838.0,513838000.0,FIRST BANK & TRUST
2508751,511636.0,511636000.0,"BARRINGTON BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
925411,511585.0,511585000.0,SUMITOMO MITSUI TRUST BANK (U.S.A.) LIMITED
253468,510018.0,510018000.0,RIVER CITY BANK
522605,503270.0,503270000.0,BAR HARBOR BANK AND TRUST COMPANY
384018,502383.0,502383000.0,WOORI AMERICA BANK
876634,501754.0,501754000.0,CAPITAL CITY BANK
230759,501444.0,501444000.0,INTERNATIONAL BANK OF COMMERCE
169653,498784.0,498784000.0,FIRST BANK
272272,498348.0,498348000.0,SOUTHERN BANK
707354,498204.0,498204000.0,FIRST STATE COMMUNITY BANK
949154,497028.0,497028000.0,TEXAS BANK AND TRUST COMPANY
468806,494286.0,494286000.0,NORTHEAST BANK
636771,492417.0,492417000.0,INDEPENDENT BANK
897170,483594.0,483594000.0,PONCE BANK
660655,482404.0,482404000.0,AMERICAN NATIONAL BANK
2938198,481369.0,481369000.0,"NORTHBROOK BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
1015560,481086.0,481086000.0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION"
324340,477712.0,477712000.0,CHOICEONE BANK
680813,477013.0,477013000.0,"FARMERS NATIONAL BANK OF CANFIELD, THE"
3228908,473641.0,473641000.0,MEDALLION BANK
900306,473251.0,473251000.0,NORTHERN BANK & TRUST COMPANY
2867337,473015.0,473015000.0,FIVE STAR BANK
542528,471967.0,471967000.0,CIVISTA BANK
56351,469373.0,469373000.0,"VERABANK, NATIONAL ASSOCIATION"
419406,467639.0,467639000.0,BANGOR SAVINGS BANK
236153,466948.0,466948000.0,FIRST INTERNATIONAL BANK AND TRUST
1867983,463649.0,463649000.0,CITIZENS FIRST BANK
2353595,463039.0,463039000.0,FIRST COMMUNITY BANK
2562164,462376.0,462376000.0,COASTAL COMMUNITY BANK
913753,460915.0,460915000.0,INWOOD NATIONAL BANK
2758613,459935.0,459935000.0,FIRST INTERNET BANK OF INDIANA
1007015,457215.0,457215000.0,CENTRAL BANK & TRUST COMPANY
3029589,454518.0,454518000.0,CEDAR RAPIDS BANK AND TRUST COMPANY
845573,453624.0,453624000.0,"SPENCER SAVINGS BANK, SAVINGS AND LOAN ASSOCIATION"
825146,453599.0,453599000.0,MORTON COMMUNITY BANK
105473,453235.0,453235000.0,HOME FEDERAL BANK OF TENNESSEE
2390929,452413.0,452413000.0,BANK OF ANN ARBOR
739560,449774.0,449774000.0,FREMONT BANK
929978,449729.0,449729000.0,"HOME BANK, NATIONAL ASSOCIATION"
703767,446172.0,446172000.0,COMMUNITY WEST BANK
673909,445752.0,445752000.0,HINGHAM INSTITUTION FOR SAVINGS
548351,445408.0,445408000.0,"AUSTIN BANK, TEXAS NATIONAL ASSOCIATION"
13103,444136.0,444136000.0,BRISTOL COUNTY SAVINGS BANK
575254,443664.0,443664000.0,CITY BANK
161273,441541.0,441541000.0,"NORTH SHORE BANK, A CO-OPERATIVE BANK"
1356768,440718.0,440718000.0,ENTERPRISE BANK AND TRUST COMPANY
374653,439805.0,439805000.0,FIRST PREMIER BANK
945053,438403.0,438403000.0,RCB BANK
256553,437223.0,437223000.0,DACOTAH BANK
2654911,435366.0,435366000.0,PRINCIPAL BANK
3437456,433528.0,433528000.0,METRO CITY BANK
161602,431652.0,431652000.0,"CANANDAIGUA NATIONAL BANK AND TRUST COMPANY, THE"
662369,430250.0,430250000.0,BANK OF THE SIERRA
355858,429826.0,429826000.0,FIRST NATIONAL BANK
2693264,428439.0,428439000.0,"TOWN BANK, NATIONAL ASSOCIATION"
933975,424076.0,424076000.0,BANK OF UTAH
3401970,422380.0,422380000.0,FIRST BANK
535753,421125.0,421125000.0,"ACADEMY BANK, N.A."
99376,420749.0,420749000.0,"NATIONAL COOPERATIVE BANK, N.A."
474254,420287.0,420287000.0,BROADWAY NATIONAL BANK
3325759,419394.0,419394000.0,PRIMIS BANK
557858,416580.0,416580000.0,"INTRUST BANK, NATIONAL ASSOCIATION"
211271,412172.0,412172000.0,"NORTH AMERICAN SAVINGS BANK, FSB"
866000,408416.0,408416000.0,ARROW BANK NATIONAL ASSOCIATION
1436204,407114.0,407114000.0,BANK OF MARIN
2963266,405715.0,405715000.0,FIRST CAROLINA BANK
2576134,404650.0,404650000.0,WEBBANK
911973,404396.0,404396000.0,UNION SAVINGS BANK
822556,403957.0,403957000.0,TEXAS EXCHANGE BANK
1009354,400854.0,400854000.0,SECURITY BANK OF KANSAS CITY
529958,399255.0,399255000.0,"TIB, NATIONAL ASSOCIATION"
1157415,398341.0,398341000.0,STATE BANK OF TEXAS
537449,397453.0,397453000.0,FIRST BUSINESS BANK
1883321,397116.0,397116000.0,"FIRST AMERICAN TRUST, FSB"
384278,397108.0,397108000.0,FIRST FEDERAL BANK
1001639,395696.0,395696000.0,PARKWAY BANK AND TRUST COMPANY
3476192,394745.0,394745000.0,CARTER BANK & TRUST
3547131,394333.0,394333000.0,FINEMARK NATIONAL BANK & TRUST
26765,393934.0,393934000.0,VANTAGE BANK TEXAS
717924,391859.0,391859000.0,SOUTHERN BANK AND TRUST COMPANY
876700,389469.0,389469000.0,CENTREVILLE BANK
460033,389231.0,389231000.0,COMMUNITY BANK OF MISSISSIPPI
3804535,389152.0,389152000.0,GUARANTY BANK
3281510,389120.0,389120000.0,UNITED BUSINESS BANK
976703,385346.0,385346000.0,"BESSEMER TRUST COMPANY, N.A."
613400,384572.0,384572000.0,PEOPLESBANK
223322,384084.0,384084000.0,"FIRST BANK AND TRUST COMPANY, THE"
439338,379239.0,379239000.0,UNITED COMMUNITY BANK
2434113,379005.0,379005000.0,BANK RHODE ISLAND
376273,375873.0,375873000.0,NORTH SHORE BANK
5210,374810.0,374810000.0,ACNB BANK
584920,374075.0,374075000.0,"FIDELITY BANK, THE"
214414,372919.0,372919000.0,"FARMERS & MERCHANTS STATE BANK, THE"
2734729,372598.0,372598000.0,AMERICAN BUSINESS BANK
2694681,371040.0,371040000.0,AMERICAN FIRST NATIONAL BANK
751656,370996.0,370996000.0,FRANDSEN BANK & TRUST
2044811,368614.0,368614000.0,"WHEATON BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
852544,368458.0,368458000.0,SOUTHERN BANCORP BANK
995076,368416.0,368416000.0,CACHE VALLEY BANK
3235410,368002.0,368002000.0,WEST COAST COMMUNITY BANK
3212402,366089.0,366089000.0,PCB BANK
2849801,365973.0,365973000.0,SOUTHERN FIRST BANK
3629420,365247.0,365247000.0,SOUTHERN STATES BANK
112163,362940.0,362940000.0,"GUARANTY BANK & TRUST, N.A."
2954059,357798.0,357798000.0,BCB COMMUNITY BANK
3017081,357013.0,357013000.0,NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY
2764212,353998.0,353998000.0,PARKE BANK
557317,351512.0,351512000.0,LINKBANK
9807,347330.0,347330000.0,AMBOY BANK
140362,346374.0,346374000.0,SUNWEST BANK
1018927,344920.0,344920000.0,1ST SECURITY BANK OF WASHINGTON
139740,344266.0,344266000.0,WEST BANK
4457536,341236.0,341236000.0,THRIVENT BANK
254317,340209.0,340209000.0,BANK OF UTICA
657271,339730.0,339730000.0,GATE CITY BANK
1447639,338663.0,338663000.0,WESTSTAR BANK
407506,338653.0,338653000.0,ION BANK
3109043,338327.0,338327000.0,BANKWELL BANK
657459,337193.0,337193000.0,MIDWEST BANKCENTRE
671334,336990.0,336990000.0,REPUBLIC BANK OF CHICAGO
330855,336807.0,336807000.0,"BANK OF MISSOURI, THE"
978118,334692.0,334692000.0,FIRST CITIZENS COMMUNITY BANK
2891622,334012.0,334012000.0,"CORNERSTONE CAPITAL BANK, SSB"
867650,333981.0,333981000.0,PINNACLE BANK
914648,331969.0,331969000.0,BANKFIRST FINANCIAL SERVICES
278555,328756.0,328756000.0,"STRIDE BANK, NATIONAL ASSOCIATION"
971959,327758.0,327758000.0,BRAVERA BANK
310978,326974.0,326974000.0,WATERSTONE BANK
2743244,326972.0,326972000.0,RED RIVER BANK
2298995,326406.0,326406000.0,"VILLAGE BANK & TRUST, NATIONAL ASSOCIATION"
110936,325984.0,325984000.0,BANCO DO BRASIL AMERICAS
